property_id,TagLine, ListPrice ,Bedrooms,Bathrooms,LivingArea,LotSizeSquareFeet,YearBuilt,PropertyType,OnMarketDate,StreetName,City,Lat,Lon,Company
15383,"BO. TOITA, TERRENOS EN CAYEY, PUERTO RICO"," $310,000.00 ",0,0.0,0,1323,0,Land,3/26/2019,BO. TOITA CARRETERA #14 KM 685 CAYEY PUERTO RICO 00736,Cayey,18.12928693,-66.17965859,Company1
15896,"RIO ARRIBA PONIENTE, SOLAR EN MANATI, PUERTO RICO"," $29,500.00 ",0,0.0,0,900,0,Land,9/30/2019,CARR 641 KM 3.8,Manati,18.38525612,-66.50729244,Company1
16011,"BO. SABANA HOYOS, SOLAR EN ARECIBO"," $249,000.00 ",0,0.0,0,73978,0,Land,8/20/2021,Bo. Sabana Hoyos Sector Los Manantiales Carr 2 Km 61.1,Arecibo,18.4274072,-66.6218762,Company3
16850,"PUEBLITO DEL CARMEN, CASA EN GUAYAMA, PUERTO RICO"," $124,000.00 ",3,2.0,1680,1377,1987,Homes,4/20/2020,Carr. 7712 km.1.0,Guayama,18.032295,-66.168893,Company1
16887,"Estancias de Golden Hills, Solar en Dorado, Puerto Rico"," $55,000.00 ",0,0.0,0,1000,0,Land,4/30/2020,Carr 2 Km 28.0 Int Barrio Maguayo Lote 2 Del Bloque GH (GH-26A),Dorado,18.4119722,-66.2949109,Company3
16930,"Bo. Arenales, Solar en Isabela, P.R."," $130,000.00 ",0,0.0,0,2257,0,Land,6/8/2020,Carr 112 Km 6.5,Isabela,18.440033,-67.034355,Company1
17033,Local Comercial Vista Alegre en Ponce," $1,300,000.00 ",0,3.0,225069,20909,0,Land,7/24/2020,Carr. 511 Km. 2.2 Vista Alegre sector Real Anon Ward,Ponce,18.069188,-66.557623,Company3
17099,"Bo. Pueblo, Local Comercial en Coamo"," $165,000.00 ",2,2.0,2000,185,1960,Commercial,8/18/2020,Calle Ruiz Belvis # 10,Coamo,18.07909631,-66.35564613,Company1
17178,Casa Park Boulevard en San Juan P. R," $2,500,000.00 ",10,7.0,3600,500,1960,Homes,10/1/2020,Park Boulevard #2210 Ocean Park 00911 P. R,San Juan - Santurce,18.452799,-66.0440534,Company3
17179,Casa Park Boulevard en San Juan P. R," $2,500,000.00 ",10,7.0,3600,500,1960,Homes,10/1/2020,Park Boulevard #2218 Ocean Park 00911 P. R,San Juan - Condado-miramar,18.4527195,-66.0446475,Company3
